
    91765 NSTU Pago Pago Observations at 12Z 05 Feb 2022

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1006.0      5   29.4   26.6     85  22.41    270      7  302.0  368.8  306.1
 1005.0     14   29.6   24.8     75  20.08    268      7  302.3  362.1  305.9
 1003.0     33   29.4   23.4     70  18.45    263      8  302.3  357.1  305.6
 1000.0     60   28.6   22.6     70  17.61    255      8  301.8  353.9  304.9
  996.0     96   28.0   23.0     74  18.13    253      8  301.5  355.2  304.8
  972.7    305   26.1   22.3     80  17.74    240     10  301.6  354.1  304.8
  939.7    610   23.2   21.2     88  17.18    240     10  301.7  352.6  304.8
  937.0    635   23.0   21.1     89  17.13    240     10  301.7  352.4  304.8
  925.0    748   22.4   20.5     89  16.71    240     12  302.2  351.8  305.2
  907.4    914   21.4   19.5     89  15.97    240     14  302.8  350.4  305.7
  876.0   1219   19.6   17.6     88  14.68    230     14  304.0  347.9  306.7
  850.0   1480   18.0   16.0     88  13.64    225     13  305.0  346.0  307.5
  842.0   1561   17.4   15.5     89  13.33    225     12  305.2  345.3  307.6
  816.0   1829   16.3   13.5     84  12.09    225      8  306.8  343.4  309.0
  791.0   2095   15.2   11.6     79  10.96    242     11  308.3  341.9  310.4
  787.4   2134   14.9   11.5     80  10.92    245     11  308.4  341.9  310.5
  759.6   2438   12.9   10.5     86  10.63    230     12  309.4  342.1  311.4
  753.0   2511   12.4   10.3     87  10.55    231     12  309.7  342.1  311.6
  732.5   2743   12.2    8.4     78   9.56    235     11  311.9  341.7  313.7
  731.0   2761   12.2    8.3     77   9.48    235     11  312.1  341.6  313.9
  713.0   2970   10.8    9.3     90  10.42    241     10  312.8  345.2  314.7
  707.0   3041   10.8    9.2     90  10.44    243     10  313.5  346.1  315.5
  700.0   3124   10.8    6.8     76   8.93    245     10  314.4  342.6  316.1
  699.0   3136   10.6    6.5     76   8.76    245     10  314.3  341.9  316.0
  694.0   3196   10.2    7.4     83   9.39    248     10  314.5  344.1  316.3
  688.0   3268   10.2    6.2     76   8.72    250      9  315.3  342.9  317.0
  656.5   3658    8.3    4.8     78   8.26    265      8  317.4  343.9  319.0
  651.0   3728    8.0    4.5     79   8.18    263      8  317.8  344.0  319.4
  641.0   3856    7.4    2.7     72   7.31    260      7  318.6  342.1  320.0
  609.5   4267    4.7    0.8     76   6.68    250      5  320.1  341.8  321.4
  567.0   4856    0.8   -2.0     82   5.86    115      3  322.2  341.5  323.3
  565.5   4877    0.7   -2.1     81   5.82    110      3  322.3  341.5  323.4
  509.0   5719   -2.7   -7.3     71   4.37    260      2  328.0  342.9  328.9
  500.0   5860   -3.9   -7.9     74   4.24    285      2  328.2  342.8  329.1
  485.2   6096   -5.4   -8.9     76   4.03    195      3  329.2  343.1  330.0
  480.0   6181   -5.9   -9.3     77   3.96    190      3  329.6  343.3  330.4
  428.0   7072   -9.7  -17.7     52   2.24    140      2  335.7  343.9  336.2
  424.0   7144  -10.1  -21.1     40   1.69    136      2  336.1  342.4  336.5
  414.0   7327  -10.9  -20.9     44   1.76    125      2  337.4  343.9  337.8
  401.0   7571  -13.1  -21.1     51   1.78    111      2  337.6  344.2  338.0
  400.0   7590  -13.1  -21.1     51   1.79    110      2  337.9  344.5  338.2
  398.4   7620  -13.3  -21.4     50   1.74    100      2  338.0  344.5  338.4
  378.0   8019  -15.9  -25.9     42   1.23    117      3  339.7  344.4  339.9
  371.0   8160  -17.1  -28.1     38   1.03    123      4  339.9  343.9  340.1
  367.0   8241  -17.7  -32.7     26   0.67    126      4  340.2  342.8  340.3
  347.0   8658  -20.9  -27.9     53   1.12    144      5  341.3  345.6  341.6
  338.0   8852  -21.7  -31.7     40   0.80    152      6  342.8  346.0  343.0
  324.8   9144  -23.7  -34.5     36   0.64    165      7  344.0  346.6  344.1
  322.0   9208  -24.1  -35.1     36   0.60    171      7  344.3  346.7  344.4
  304.0   9625  -27.9  -36.9     42   0.53    207      5  344.6  346.8  344.8
  300.0   9720  -28.5  -37.5     42   0.51    215      5  345.1  347.2  345.2
  286.1  10058  -31.4  -41.3     37   0.36    230      5  345.6  347.1  345.7
  284.0  10110  -31.9  -41.9     36   0.34    229      5  345.7  347.1  345.7
  278.0  10261  -32.9  -40.9     45   0.39    228      6  346.3  347.9  346.4
  272.0  10414  -34.1  -41.1     49   0.39    226      6  346.8  348.4  346.9
  256.0  10836  -37.1  -45.1     43   0.27    222      8  348.4  349.5  348.5
  250.0  11000  -38.5  -46.5     43   0.24    220      9  348.7  349.7  348.7
  235.0  11422  -42.1  -49.1     46   0.19    209     12  349.5  350.3  349.5
  229.5  11582  -43.4  -52.2     37   0.13    205     13  349.9  350.5  349.9
  229.0  11596  -43.5  -52.5     36   0.13    205     13  349.9  350.5  349.9
  220.0  11864  -46.1  -55.1     35   0.10    205     17  349.9  350.4  350.0
  200.0  12490  -51.3  -59.3     38   0.06    205     26  351.4  351.7  351.4
  199.8  12497  -51.4  -59.4     38   0.06    210     27  351.4  351.7  351.4
  197.0  12588  -52.3  -60.3     37   0.06    209     27  351.3  351.6  351.3
  193.0  12720  -53.1  -62.1     33   0.05    208     26  352.1  352.3  352.1
  189.0  12854  -54.3  -71.3     11   0.01    206     25  352.3  352.3  352.3
  180.0  13165  -56.9  -82.9      2   0.00    203     23  353.0  353.0  353.0
  173.1  13411  -59.2  -77.8      7   0.01    200     22  353.2  353.2  353.2
  168.0  13597  -60.9  -73.9     16   0.01    193     20  353.3  353.4  353.3
  163.0  13783  -62.7  -75.7     16   0.01    185     18  353.4  353.4  353.4
  156.8  14021  -64.5  -77.5     15   0.01    175     16  354.3  354.3  354.3
  150.0  14290  -66.5  -79.5     15   0.00    175     20  355.3  355.4  355.3
  127.8  15240  -73.1  -86.1     12   0.00    170     35  360.2  360.2  360.2
  121.0  15564  -75.3  -88.3     12   0.00    157     31  361.7  361.8  361.7
  115.0  15858  -76.7  -90.7      9   0.00    144     28  364.4  364.4  364.4
  110.0  16112  -79.3  -94.3      7   0.00    133     25  364.2  364.2  364.2
  100.0  16650  -81.7  -97.7      5   0.00    110     19  369.6  369.6  369.6
   85.4  17530  -84.9  -99.9      6   0.00    125     21  380.2  380.2  380.2
   80.5  17858  -82.9  -97.9      6   0.00     96     27  390.8  390.8  390.8
   78.7  17983  -80.6  -96.5      6   0.00     85     29  398.1  398.1  398.1
   78.5  17999  -80.3  -96.3      6   0.00     83     29  399.0  399.0  399.0
   74.5  18288  -82.5  -98.0      6   0.00     55     20  400.3  400.3  400.3
   70.6  18593  -84.8  -99.8      6   0.00     80     18  401.6  401.6  401.6
   70.5  18601  -84.9  -99.9      6   0.00     80     18  401.6  401.6  401.6
   70.0  18640  -84.5  -99.5      6   0.00     80     18  403.3  403.3  403.3
   67.2  18867  -81.1  -97.1      6   0.00    111     26  415.4  415.4  415.4
   66.8  18898  -81.0  -97.0      6   0.00    115     27  416.1  416.1  416.1
   64.1  19132  -80.7  -96.7      6   0.00    111     33  421.9  421.9  421.9
   62.4  19284  -76.9  -93.9      5   0.00    109     37  433.6  433.6  433.6
   60.0  19507  -74.3  -93.0      4   0.00    105     42  444.2  444.2  444.2
   59.7  19540  -73.9  -92.9      4   0.00    104     41  445.8  445.8  445.8
   54.1  20117  -72.2  -96.1      2   0.00     90     32  462.3  462.3  462.3
   51.7  20381  -71.5  -97.5      1   0.00     93     34  470.1  470.1  470.1
   50.0  20580  -67.7  -95.7      1   0.00     95     35  483.5  483.5  483.5
   46.4  21031  -64.9  -94.7      1   0.00    100     43  500.6  500.6  500.6
   45.9  21099  -64.5  -94.5      1   0.00     97     42  503.2  503.2  503.2
   44.1  21336  -66.2  -95.5      1   0.00     85     39  504.6  504.6  504.6
   43.7  21397  -66.7  -95.7      1   0.00     84     39  504.9  505.0  504.9
   42.1  21623  -65.7  -94.7      1   0.00     79     38  512.8  512.8  512.8
   40.3  21888  -66.7  -95.7      1   0.00     73     37  516.8  516.8  516.8
   39.4  22024  -65.9  -94.9      1   0.00     70     37  522.1  522.1  522.1
   38.0  22250  -61.1  -91.7      1   0.00     65     36  539.9  539.9  539.9
   37.7  22296  -60.1  -91.1      1   0.00     66     36  543.5  543.6  543.5
   33.6  23014  -59.7  -90.7      1   0.00     75     37  562.8  562.8  562.8
   31.5  23420  -56.5  -88.5      1   0.01     81     37  581.9  581.9  581.9
