
Output from Plumeria 2, fortran version, run date 2022.02.06   0:20

Input values:
        Tropopause elevation above vent (km):    11.0
                   Height of tropopause (km):     9.0
                   Thermal lapse rate (C/km):   -6.50
                       Relative humidity, % :     0.0
                 Air temperature at vent (C):    15.0
          Air pressure  at vent, atmospheres:   1.000
               wind speed at sea level (m/s):   0.000
   change in wind speed with elevation (1/s):   0.000
                wind direction (deg. E of N):    90.0
                           Vent diameter (m):     1.0
                          Vent elevation (m):     0.0
                      Initial velocity (m/s):   200.0
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   6.103
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.959E+03
                 Mass flux of solids, (kg/s):  0.930E+03
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
   1      0.0      0.0      0.0      0.0 0.969E+00 0.100E-02 0.300E-01 0.000E+00 0.000E+00    0.00   200.00       0.5  1173.0   288.1     6.103     1.225     0.0  101300.0 0.000E+00 0.000E+00
   2      0.1      0.0      0.0      0.0 0.961E+00 0.899E-02 0.297E-01 0.000E+00 0.000E+00    0.00   198.40       0.5  1165.9   288.1     5.319     1.225     0.0  101299.4 0.000E+00 0.000E+00
   3      0.1      0.1      0.0      0.0 0.954E+00 0.168E-01 0.295E-01 0.000E+00 0.000E+00    0.00   196.83       0.6  1158.9   288.1     4.733     1.225     0.0  101298.8 0.000E+00 0.000E+00
   4      0.1      0.1      0.0      0.0 0.946E+00 0.245E-01 0.293E-01 0.000E+00 0.000E+00    0.00   195.30       0.6  1152.1   288.1     4.277     1.225     0.0  101298.2 0.000E+00 0.000E+00
   5      0.2      0.2      0.0      0.0 0.939E+00 0.320E-01 0.290E-01 0.000E+00 0.000E+00    0.00   193.78       0.6  1145.4   288.1     3.909     1.225     0.0  101297.6 0.000E+00 0.000E+00
   6      0.2      0.2      0.0      0.0 0.932E+00 0.395E-01 0.288E-01 0.000E+00 0.000E+00    0.00   192.29       0.7  1138.8   288.1     3.607     1.225     0.0  101297.0 0.000E+00 0.000E+00
   7      0.3      0.3      0.0      0.0 0.925E+00 0.469E-01 0.286E-01 0.000E+00 0.000E+00    0.00   190.81       0.7  1132.3   288.1     3.354     1.225     0.0  101296.4 0.000E+00 0.000E+00
   8      0.3      0.3      0.0      0.0 0.917E+00 0.542E-01 0.284E-01 0.000E+00 0.000E+00    0.00   189.34       0.7  1125.8   288.1     3.137     1.225     0.0  101295.8 0.000E+00 0.000E+00
   9      0.4      0.4      0.0      0.0 0.910E+00 0.615E-01 0.282E-01 0.000E+00 0.000E+00    0.00   187.88       0.8  1119.3   288.1     2.950     1.225     0.0  101295.2 0.000E+00 0.000E+00
  10      0.5      0.5      0.0      0.0 0.903E+00 0.687E-01 0.279E-01 0.000E+00 0.000E+00    0.00   186.42       0.8  1112.8   288.1     2.787     1.225     0.0  101294.6 0.000E+00 0.000E+00
